"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"3362","GO:0006955",6.20869992300626e-76,1,454,1863,"immune response","BP",5.12972764159648e-25
"876","GO:0002250",3.20553195486854e-74,1,234,637,"adaptive immune response","BP",1.16775191710868e-18
"6326","GO:0019814",1.57229648287346e-71,1,98,130,"immunoglobulin complex","CC",1.72510323856798e-18
"964","GO:0002376",3.23631174934667e-67,1,555,2615,"immune system process","BP",1.97107629880214e-18
"1587","GO:0003823",2.57331967838974e-49,1,87,148,"antigen binding","MF",1.03199165938571e-15
"1011","GO:0002449",2.43451107971711e-32,1,115,347,"lymphocyte mediated immunity","BP",2.59911352759021e-11
"1017","GO:0002460",4.94324599267984e-31,1,118,362,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",1.50497749994029e-10
"878","GO:0002252",1.0103458064447e-30,1,173,663,"immune effector process","BP",2.21094108879041e-10
"1005","GO:0002443",8.62672153478878e-30,1,128,433,"leukocyte mediated immunity","BP",3.47564084447268e-10
"5443","GO:0016064",1.1844174882008e-28,1,74,175,"immunoglobulin mediated immune response","BP",7.48194981164604e-10
"6281","GO:0019724",2.38399100181797e-28,1,74,177,"B cell mediated immunity","BP",1.0598155340167e-09
"1139","GO:0002684",1.18379842203543e-27,1,238,1093,"positive regulation of immune system process","BP",1.32238264889419e-09
"12614","GO:0050776",4.18749579120971e-27,1,214,957,"regulation of immune response","BP",1.51452859005699e-09
"1137","GO:0002682",1.85204436305619e-26,1,301,1542,"regulation of immune system process","BP",1.87510759591543e-09
"1205","GO:0002768",3.04518029608487e-26,1,109,349,"immune response-regulating cell surface receptor signaling pathway","BP",2.2586984908026e-09
"11126","GO:0045321",8.79419427883621e-26,1,209,930,"leukocyte activation","BP",4.45876355799515e-09
"12616","GO:0050778",9.90210291047082e-26,1,182,771,"positive regulation of immune response","BP",4.49894616734865e-09
"1202","GO:0002764",1.22844067379019e-24,1,149,577,"immune response-regulating signaling pathway","BP",7.54793493119301e-09
"879","GO:0002253",4.98982188236235e-24,1,151,595,"activation of immune response","BP",1.12629344346094e-08
"553","GO:0001775",5.50969188614957e-24,1,228,1070,"cell activation","BP",1.12629344346094e-08
"13118","GO:0051707",9.36913234489252e-24,1,275,1443,"response to other organism","BP",1.25674648635675e-08
"1195","GO:0002757",1.09679956680957e-23,1,141,538,"immune response-activating signaling pathway","BP",1.30473900612095e-08
"10477","GO:0043207",1.10041665351856e-23,1,275,1445,"response to external biotic stimulus","BP",1.33548177003064e-08
"991","GO:0002429",1.60336468769818e-23,1,100,325,"immune response-activating cell surface receptor signaling pathway","BP",3.35572095815682e-08
"4335","GO:0009607",2.2829154971254e-23,1,280,1484,"response to biotic stimulus","BP",3.35891450338072e-08
"11723","GO:0046649",2.96820274318939e-23,1,179,776,"lymphocyte activation","BP",3.48277605387786e-08
"10885","GO:0044419",4.08756327430185e-21,1,291,1600,"biological process involved in interspecies interaction between organisms","BP",3.5063126449088e-08
"12661","GO:0050851",4.32451894682008e-21,1,72,205,"antigen receptor-mediated signaling pathway","BP",7.29178583716522e-08
"3359","GO:0006952",9.41151191859044e-20,1,296,1691,"defense response","BP",8.8944857752376e-08
"16798","GO:0098542",1.16281560784775e-19,1,200,1027,"defense response to other organism","BP",9.14426468204662e-08
"17917","GO:0140546",2.17459638578291e-19,1,197,1011,"defense response to symbiont","BP",1.29951080779037e-07
"4334","GO:0009605",7.25912346849214e-18,1,367,2211,"response to external stimulus","BP",1.67035352111765e-07
"9967","GO:0042110",3.40361449972189e-17,1,129,558,"T cell activation","BP",1.86125603635757e-07
"1149","GO:0002694",2.54340679287125e-16,1,126,560,"regulation of leukocyte activation","BP",2.58702153633992e-07
"6815","GO:0030098",4.35564963768141e-16,1,105,412,"lymphocyte differentiation","BP",5.26321192300836e-07
"12663","GO:0050853",5.68756128554317e-16,1,35,71,"B cell receptor signaling pathway","BP",5.34951946243937e-07
"12675","GO:0050865",7.83092261484409e-16,1,134,616,"regulation of cell activation","BP",7.31649994789867e-07
"4341","GO:0009617",1.12264369532309e-15,1,129,608,"response to bacterium","BP",9.51518562476602e-07
"1055","GO:0002521",1.27097270031838e-15,1,135,599,"leukocyte differentiation","BP",9.89432659367082e-07
"19382","GO:1903131",1.32311244772126e-15,1,119,504,"mononuclear cell differentiation","BP",1.71414797650222e-06
"9962","GO:0042101",1.72580772912371e-15,1,36,84,"T cell receptor complex","CC",3.47401377439552e-06
"11030","GO:0045087",3.12531802630145e-15,1,176,928,"innate immune response","BP",3.47401377439552e-06
"6814","GO:0030097",6.33795675813898e-15,1,183,929,"hemopoiesis","BP",3.73205144158924e-06
"12698","GO:0050896",1.42999199701738e-14,1,1038,7930,"response to stimulus","BP",5.27828201737837e-06
"3361","GO:0006954",3.34052794338023e-14,1,158,824,"inflammatory response","BP",5.37975161389568e-06
"12892","GO:0051249",3.3763087803337e-14,1,110,495,"regulation of lymphocyte activation","BP",5.37975161389568e-06
"9968","GO:0042113",5.26267096936617e-14,1,73,260,"B cell activation","BP",5.68423197582424e-06
"7390","GO:0031347",2.44749000488495e-13,1,156,806,"regulation of defense response","BP",6.30315444017161e-06
"649","GO:0001906",2.56628908354352e-13,1,58,230,"cell killing","BP",6.74446093714949e-06
"1151","GO:0002696",7.52569794121494e-13,1,86,359,"positive regulation of leukocyte activation","BP",7.81472007291152e-06
"12677","GO:0050867",8.25581197414483e-13,1,89,377,"positive regulation of cell activation","BP",8.21664924939718e-06
"3366","GO:0006959",9.7510524002066e-13,1,54,223,"humoral immune response","BP",1.17190160608849e-05
"4412","GO:0009897",9.85589963118141e-13,1,85,359,"external side of plasma membrane","CC",1.24213738236434e-05
"8686","GO:0034097",1.628274844288e-12,1,165,885,"response to cytokine","BP",1.24213738236434e-05
"3459","GO:0007159",1.84883034710273e-12,1,92,401,"leukocyte cell-cell adhesion","BP",1.31261151641428e-05
"7756","GO:0032101",3.45434174271995e-12,1,188,1048,"regulation of response to external stimulus","BP",1.38144162451106e-05
"591","GO:0001819",4.40956746225253e-12,1,101,473,"positive regulation of cytokine production","BP",1.38144162451106e-05
"7392","GO:0031349",5.01614142657737e-12,1,109,521,"positive regulation of defense response","BP",1.47849209209143e-05
"7079","GO:0030595",5.07339018791979e-12,1,56,214,"leukocyte chemotaxis","BP",1.97325927878797e-05
"18826","GO:1901652",5.15795388137561e-12,1,165,897,"response to peptide","BP",1.97325927878797e-05
"11724","GO:0046651",6.81227810469111e-12,1,70,286,"lymphocyte proliferation","BP",1.97325927878797e-05
"15471","GO:0071735",7.72835660616448e-12,1,11,11,"IgG immunoglobulin complex","CC",1.97325927878797e-05
"12280","GO:0048584",1.09223733422124e-11,1,349,2245,"positive regulation of response to stimulus","BP",2.02005502997551e-05
"12673","GO:0050863",1.25636011653535e-11,1,85,376,"regulation of T cell activation","BP",2.06128682080994e-05
"1236","GO:0002831",1.31800991596004e-11,1,116,566,"regulation of response to biotic stimulus","BP",2.12801377999115e-05
"15227","GO:0071345",1.46434810046518e-11,1,150,801,"cellular response to cytokine stimulus","BP",2.18517399010415e-05
"6901","GO:0030217",1.51462281050784e-11,1,77,309,"T cell differentiation","BP",2.2206209310122e-05
"19341","GO:1903037",1.79885727632449e-11,1,84,366,"regulation of leukocyte cell-cell adhesion","BP",2.44319840384566e-05
"8289","GO:0032943",1.97174562811683e-11,1,70,293,"mononuclear cell proliferation","BP",2.49546619544355e-05
"7758","GO:0032103",3.75566716474151e-11,1,124,641,"positive regulation of response to external stimulus","BP",2.49546619544355e-05
"11709","GO:0046631",4.19494173209721e-11,1,54,195,"alpha-beta T cell activation","BP",2.57114674288453e-05
"16930","GO:0098802",5.89160399715502e-11,1,63,239,"plasma membrane signaling receptor complex","CC",2.69037032426363e-05
"14908","GO:0070661",6.4478958365818e-11,1,74,326,"leukocyte proliferation","BP",2.93474701420524e-05
"12894","GO:0051251",7.75065122460812e-11,1,76,327,"positive regulation of lymphocyte activation","BP",3.45152824348684e-05
"6149","GO:0019221",1.12927933433768e-10,1,100,493,"cytokine-mediated signaling pathway","BP",3.52732710542153e-05
"11031","GO:0045088",1.2286512445739e-10,1,100,478,"regulation of innate immune response","BP",3.68297965265061e-05
"7077","GO:0030593",1.34083600083313e-10,0.999999999980084,28,77,"neutrophil chemotaxis","BP",3.80972254643777e-05
"19343","GO:1903039",1.83117341904381e-10,1,67,274,"positive regulation of leukocyte cell-cell adhesion","BP",5.05856693343459e-05
"9961","GO:0042100",2.99088506761907e-10,0.999999999950266,31,84,"B cell proliferation","BP",5.64188371745341e-05
"870","GO:0002237",3.11852248292912e-10,1,72,321,"response to molecule of bacterial origin","BP",5.88464237967463e-05
"15155","GO:0071219",3.18372850446587e-10,1,54,209,"cellular response to molecule of bacterial origin","BP",6.12594654157532e-05
"15397","GO:0071621",3.52482595046039e-10,0.999999999936147,33,106,"granulocyte chemotaxis","BP",7.24858809494857e-05
"12680","GO:0050870",5.59559263249574e-10,1,62,253,"positive regulation of T cell activation","BP",7.55440050682009e-05
"13647","GO:0060326",6.95389710442338e-10,1,64,291,"cell chemotaxis","BP",8.25013344322667e-05
"15987","GO:0080134",8.59497091869033e-10,1,221,1375,"regulation of response to stress","BP",8.76693022530736e-05
"16802","GO:0098552",1.03277877852656e-09,1,122,661,"side of membrane","CC",8.9660965366269e-05
"589","GO:0001817",1.04304750095749e-09,1,133,736,"regulation of cytokine production","BP",0.000104824628223122
"15152","GO:0071216",1.12257696877007e-09,1,58,236,"cellular response to biotic stimulus","BP",0.000113628424250355
"588","GO:0001816",2.01748609443601e-09,1,133,743,"cytokine production","BP",0.000113628424250355
"12562","GO:0050670",2.13411864250406e-09,1,55,231,"regulation of lymphocyte proliferation","BP",0.000124977396338112
"5421","GO:0016020",2.50905951397894e-09,1,1057,8446,"membrane","CC",0.000130889698039283
"12662","GO:0050852",2.72942582949202e-09,0.99999999921643,42,150,"T cell receptor signaling pathway","BP",0.000140820490541749
"1152","GO:0002697",3.28675117564209e-09,1,77,380,"regulation of immune effector process","BP",0.000159419238379253
"8001","GO:0032496",3.51076848473963e-09,1,66,301,"response to lipopolysaccharide","BP",0.000162394362924219
"2545","GO:0005576",3.61670799279691e-09,1,476,3592,"extracellular region","CC",0.000184004688317198
"8290","GO:0032944",3.77926094394994e-09,1,55,235,"regulation of mononuclear cell proliferation","BP",0.000186898353008607
"12700","GO:0050900",3.95467192881989e-09,1,75,362,"leukocyte migration","BP",0.00018744708509909
"1138","GO:0002683",4.62263167698672e-09,1,99,515,"negative regulation of immune system process","BP",0.000200945816184071
"20762","GO:1990266",4.77287768879631e-09,0.99999999892881,30,97,"neutrophil migration","BP",0.000246853781099993
"11213","GO:0045619",5.57751474151018e-09,1,53,209,"regulation of lymphocyte differentiation","BP",0.000286985227855612
"1238","GO:0002833",5.76312614199583e-09,1,87,425,"positive regulation of response to biotic stimulus","BP",0.000295237086652563
"15158","GO:0071222",7.62520149308104e-09,0.999999997434626,49,195,"cellular response to lipopolysaccharide","BP",0.000369405327073332
"17865","GO:0140375",9.4446002767675e-09,0.999999997302596,38,141,"immune receptor activity","MF",0.00038442743987783
"956","GO:0002366",9.58148616250006e-09,1,65,290,"leukocyte activation involved in immune response","BP",0.000388843977509653
"18988","GO:1902105",9.7948113586911e-09,1,69,308,"regulation of leukocyte differentiation","BP",0.000400788551977516
"6877","GO:0030183",9.92776394898089e-09,0.999999997048619,41,139,"B cell differentiation","BP",0.000404456854935477
"6699","GO:0022407",9.98227283199579e-09,1,96,484,"regulation of cell-cell adhesion","BP",0.000430650398096942
"16703","GO:0097530",1.06575965943961e-08,0.999999997118904,35,129,"granulocyte migration","BP",0.000430650398096942
"1158","GO:0002703",1.13206823385062e-08,1,55,246,"regulation of leukocyte mediated immunity","BP",0.000431035836574577
"12279","GO:0048583",1.22395738481954e-08,1,533,3823,"regulation of response to stimulus","BP",0.000431035836574577
"11032","GO:0045089",1.23867890755556e-08,1,82,397,"positive regulation of innate immune response","BP",0.000431035836574577
"6701","GO:0022409",1.38282563126708e-08,1,71,325,"positive regulation of cell-cell adhesion","BP",0.000431035836574577
"1161","GO:0002706",1.70151003449738e-08,0.999999994269916,46,193,"regulation of lymphocyte mediated immunity","BP",0.000493841548905044
"14910","GO:0070663",1.93440300685908e-08,1,57,258,"regulation of leukocyte proliferation","BP",0.000509004774938332
"883","GO:0002263",2.04237830425105e-08,1,65,294,"cell activation involved in immune response","BP",0.000509004774938332
"859","GO:0002218",2.08835603932852e-08,1,72,333,"activation of innate immune response","BP",0.000509004774938332
"2721","GO:0005886",2.42488632577355e-08,1,680,5069,"plasma membrane","CC",0.000521452904539304
"11184","GO:0045580",2.63870994776988e-08,0.999999990961392,47,179,"regulation of T cell differentiation","BP",0.000521452904539304
"861","GO:0002221",3.5960235242898e-08,1,66,298,"pattern recognition receptor signaling pathway","BP",0.000525904161788471
"650","GO:0001909",3.67302801627282e-08,0.999999989193625,36,142,"leukocyte mediated cytotoxicity","BP",0.000525904161788471
"1154","GO:0002699",3.82349242192146e-08,1,54,247,"positive regulation of immune effector process","BP",0.000532142502674845
"15482","GO:0071753",4.13543737356694e-08,0.999999999542363,8,9,"IgM immunoglobulin complex","CC",0.000536532146722985
"1196","GO:0002758",4.17737909133672e-08,1,68,313,"innate immune response-activating signaling pathway","BP",0.000608230301377349
"9623","GO:0036211",4.26793267186847e-08,1,305,2007,"protein modification process","BP",0.000636409847396551
"10171","GO:0042571",5.40306123913858e-08,0.99999999879156,9,11,"immunoglobulin complex, circulating","CC",0.000701542958940647
"891","GO:0002274",5.91640919265301e-08,1,52,231,"myeloid leukocyte activation","BP",0.000701542958940647
"1014","GO:0002456",6.68194694407284e-08,0.999999980309919,35,133,"T cell mediated immunity","BP",0.000724316789791614
"11710","GO:0046632",6.77160099463766e-08,0.999999979127684,38,134,"alpha-beta T cell differentiation","BP",0.000724316789791614
"8066","GO:0032609",7.04516445595429e-08,0.999999981120048,31,110,"type II interferon production","BP",0.000724316789791614
"8095","GO:0032649",7.04516445595429e-08,0.999999981120048,31,110,"regulation of type II interferon production","BP",0.000728164063346124
"3358","GO:0006950",7.0829478330597e-08,1,497,3702,"response to stress","BP",0.000794725925802945
"901","GO:0002285",8.26699917754947e-08,1,50,210,"lymphocyte activation involved in immune response","BP",0.000892702047994987
"19630","GO:1903706",8.44989216750161e-08,1,80,399,"regulation of hemopoiesis","BP",0.000892702047994987
"12674","GO:0050864",1.14822003167267e-07,0.999999965622409,35,125,"regulation of B cell activation","BP",0.0009223812081649
"12591","GO:0050727",1.19564127635981e-07,1,73,373,"regulation of inflammatory response","BP",0.000963216432576702
"15580","GO:0071944",1.51942817217713e-07,1,725,5486,"cell periphery","CC",0.00121833416139718
"15872","GO:0072562",1.59718389938834e-07,0.999999953822886,32,124,"blood microparticle","CC",0.00121880900067243
"4340","GO:0009615",1.70975560898008e-07,1,77,400,"response to virus","BP",0.00124331344197545
"9360","GO:0035710",1.76071401017056e-07,0.999999945037003,36,132,"CD4-positive, alpha-beta T cell activation","BP",0.00124331344197545
"3350","GO:0006935",1.82470791027654e-07,1,80,431,"chemotaxis","BP",0.00124677736192905
"1229","GO:0002824",1.86723878513002e-07,0.999999944609158,33,125,"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",0.00130295376006193
"12563","GO:0050671",1.88248505333859e-07,0.999999940587262,36,140,"positive regulation of lymphocyte proliferation","BP",0.00132037163898216
"1224","GO:0002819",1.91277751732099e-07,1,47,213,"regulation of adaptive immune response","BP",0.00134225855315814
"10058","GO:0042330",1.98461349965979e-07,1,80,432,"taxis","BP",0.00134225855315814
"1226","GO:0002821",1.98637094725032e-07,0.999999939553362,34,131,"positive regulation of adaptive immune response","BP",0.00137914061633251
"10606","GO:0043412",2.02369372784127e-07,1,320,2186,"macromolecule modification","BP",0.00146681982186646
"9047","GO:0034987",2.07164658024568e-07,0.999999986457074,11,18,"immunoglobulin receptor binding","MF",0.00148978111047051
"6283","GO:0019730",2.07574883514885e-07,0.999999943656598,28,129,"antimicrobial humoral response","BP",0.00157236167598638
"1227","GO:0002822",2.24691390909095e-07,0.999999938494324,45,199,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",0.00157292875763007
"8292","GO:0032946",2.65889231469958e-07,0.999999914601648,36,142,"positive regulation of mononuclear cell proliferation","BP",0.00158183527258798
"2343","GO:0005126",3.13598238024148e-07,0.999999912137812,46,219,"cytokine receptor binding","MF",0.00161593924377731
"8146","GO:0032729",3.24928624526338e-07,0.999999927560497,23,71,"positive regulation of type II interferon production","BP",0.0021374798449654
"8156","GO:0032743",3.91432143007192e-07,0.999999944819136,16,35,"positive regulation of interleukin-2 production","BP",0.00224394437614709
"14912","GO:0070665",4.18447836872844e-07,0.999999857412672,38,157,"positive regulation of leukocyte proliferation","BP",0.00227509210258012
"12664","GO:0050854",4.37003016934214e-07,0.999999901072703,23,70,"regulation of antigen receptor-mediated signaling pathway","BP",0.00227509210258012
"1002","GO:0002440",4.77733913313437e-07,0.99999986284918,48,216,"production of molecular mediator of immune response","BP",0.00239632661780387
"9960","GO:0042098",4.80466523442371e-07,0.999999864254359,46,206,"T cell proliferation","BP",0.00241665938579657
"7530","GO:0031640",4.8163872932067e-07,0.9999998800903,24,100,"killing of cells of another organism","BP",0.0025356475969262
"18150","GO:0141061",4.8163872932067e-07,0.9999998800903,24,100,"disruption of cell in another organism","BP",0.00256259782854746
"15436","GO:0071674",5.30275449178666e-07,0.999999848328862,47,215,"mononuclear cell migration","BP",0.00267768722197686
"1160","GO:0002705",5.40433358883002e-07,0.999999819579357,36,150,"positive regulation of leukocyte mediated immunity","BP",0.00268921415258441
"16702","GO:0097529",6.06191461385553e-07,0.999999786732019,45,210,"myeloid leukocyte migration","BP",0.00280371974871694
"11712","GO:0046634",6.22180315317187e-07,0.999999808870809,32,119,"regulation of alpha-beta T cell activation","BP",0.00282981042097454
"12593","GO:0050729",6.46416643867725e-07,0.999999778319518,37,157,"positive regulation of inflammatory response","BP",0.00282981042097454
"15915","GO:0072676",7.02061174750635e-07,0.999999793295253,30,108,"lymphocyte migration","BP",0.00289498234236621
"1163","GO:0002708",8.46684689950163e-07,0.999999732797272,32,130,"positive regulation of lymphocyte mediated immunity","BP",0.0030077425052834
"20993","GO:1990868",8.47080847847469e-07,0.99999977994959,25,89,"response to chemokine","BP",0.0030473324358096
"20994","GO:1990869",8.47080847847469e-07,0.99999977994959,25,89,"cellular response to chemokine","BP",0.0030473324358096
"7184","GO:0030888",9.86323884055704e-07,0.999999784935713,21,61,"regulation of B cell proliferation","BP",0.00308473635249944
"18990","GO:1902107",1.01052413090512e-06,0.999999611508406,44,183,"positive regulation of leukocyte differentiation","BP",0.00312984864364816
"19632","GO:1903708",1.01052413090512e-06,0.999999611508406,44,183,"positive regulation of hemopoiesis","BP",0.00312984864364816
"9975","GO:0042129",1.04344421243267e-06,0.999999616686337,40,174,"regulation of T cell proliferation","BP",0.00313066618193859
"8076","GO:0032623",1.19126189543278e-06,0.999999735925725,21,62,"interleukin-2 production","BP",0.00327083655399421
"8105","GO:0032663",1.19126189543278e-06,0.999999735925725,21,62,"regulation of interleukin-2 production","BP",0.00339680516383126
"7384","GO:0031341",1.33382688687398e-06,0.999999618777827,27,104,"regulation of cell killing","BP",0.00343192158322926
"11018","GO:0045058",1.35713972677935e-06,0.999999687674598,22,62,"T cell selection","BP",0.00357384358883045
"18149","GO:0141060",1.51401303745935e-06,0.99999959428083,24,104,"disruption of anatomical structure in another organism","BP",0.00357384358883045
"13938","GO:0060759",1.72099618503443e-06,0.999999338146561,42,179,"regulation of response to cytokine stimulus","BP",0.00365903571252109
"8372","GO:0033077",1.73034358173471e-06,0.999999526242343,26,83,"T cell differentiation in thymus","BP",0.00365903571252109
"13069","GO:0051607",1.74193172316283e-06,0.999999290135458,60,302,"defense response to virus","BP",0.00365956405103907
"11713","GO:0046635",2.08123744935132e-06,0.999999474367272,23,74,"positive regulation of alpha-beta T cell activation","BP",0.00387425037123507
"11215","GO:0045621",2.18283605291765e-06,0.999999242698856,35,134,"positive regulation of lymphocyte differentiation","BP",0.00393753205995303
"12247","GO:0048518",2.51877867286512e-06,0.99999817942039,743,5697,"positive regulation of biological process","BP",0.0039613424870552
"864","GO:0002224",2.71741888600129e-06,0.999999253647392,25,82,"toll-like receptor signaling pathway","BP",0.0039613424870552
"3465","GO:0007165",2.9820836995721e-06,0.999997847389503,691,5347,"signal transduction","BP",0.0039613424870552
"19576","GO:1903557",3.1779605209927e-06,0.999999028154289,28,103,"positive regulation of tumor necrosis factor superfamily cytokine production","BP",0.0039795988435844
"21326","GO:2000514",3.20600608881785e-06,0.999999130725193,24,82,"regulation of CD4-positive, alpha-beta T cell activation","BP",0.00398378203800978
"1179","GO:0002726",3.3731211841605e-06,0.999999585319736,12,27,"positive regulation of T cell cytokine production","BP",0.00404825805746285
"10569","GO:0043367",3.60714480122841e-06,0.999998865594404,29,105,"CD4-positive, alpha-beta T cell differentiation","BP",0.00407808569633157
"15475","GO:0071745",3.65273988376323e-06,0.999999897087955,7,9,"IgA immunoglobulin complex","CC",0.00407808569633157
"3661","GO:0008009",3.76135183462326e-06,0.999999419552279,13,43,"chemokine activity","MF",0.00421465145218107
"12615","GO:0050777",3.79803315770613e-06,0.999998495886802,44,202,"negative regulation of immune response","BP",0.00435718001663082
"959","GO:0002369",4.39259796406818e-06,0.999999295124369,14,37,"T cell cytokine production","BP",0.0044573993800609
"1177","GO:0002724",4.39259796406818e-06,0.999999295124369,14,37,"regulation of T cell cytokine production","BP",0.00447887203295424
"1155","GO:0002700",4.91203154419796e-06,0.999998059012378,40,182,"regulation of production of molecular mediator of immune response","BP",0.0045377819761544
"9963","GO:0042102",5.03832357066682e-06,0.999998487562502,26,99,"positive regulation of T cell proliferation","BP",0.0045377819761544
"550","GO:0001772",5.10979942561629e-06,0.999998975409025,17,47,"immunological synapse","CC",0.0045377819761544
"5235","GO:0015671",5.56242590279854e-06,0.999999759484674,7,11,"oxygen transport","BP",0.00459272538708053
"8166","GO:0032760",5.58553221179277e-06,0.999998276208114,27,100,"positive regulation of tumor necrosis factor production","BP",0.00462703659493929
"1166","GO:0002711",6.07004104136054e-06,0.999998503851715,20,70,"positive regulation of T cell mediated immunity","BP",0.00464584155150079
"11715","GO:0046637",6.59049865154982e-06,0.999998193105692,23,77,"regulation of alpha-beta T cell differentiation","BP",0.00486160375023024
"10082","GO:0042379",6.61069728462926e-06,0.999998635592117,16,60,"chemokine receptor binding","MF",0.00486160375023024
"6818","GO:0030101",6.83375443719935e-06,0.99999809139706,23,85,"natural killer cell activation","BP",0.00486160375023024
"9673","GO:0036336",7.92397028114164e-06,0.999998789433054,13,32,"dendritic cell migration","BP",0.00502490418804214
"11186","GO:0045582",8.93924270097638e-06,0.999996898502314,31,118,"positive regulation of T cell differentiation","BP",0.00502490418804214
"15473","GO:0071742",8.96149569301014e-06,1,5,5,"IgE immunoglobulin complex","CC",0.00502490418804214
"6856","GO:0030155",9.11365361815283e-06,0.999994627051645,131,771,"regulation of cell adhesion","BP",0.00506236697498146
"11311","GO:0045785",9.23185234971437e-06,0.999995030637754,88,484,"positive regulation of cell adhesion","BP",0.00519116449892417
"4856","GO:0012505",9.5926228346791e-06,0.999992648916604,588,4507,"endomembrane system","CC",0.00522092180536734
"1164","GO:0002709",1.08721901269237e-05,0.999996638127455,25,102,"regulation of T cell mediated immunity","BP",0.00532715560582912
"11719","GO:0046641",1.20585917299067e-05,0.999998495204856,11,24,"positive regulation of alpha-beta T cell proliferation","BP",0.00621247069206746
"14594","GO:0070098",1.23301031243467e-05,0.999996634062805,21,80,"chemokine-mediated signaling pathway","BP",0.00630950378145186
"8939","GO:0034612",1.35447990877552e-05,0.999994194564581,44,213,"response to tumor necrosis factor","BP",0.00635797488607213
"11711","GO:0046633",1.50555424292623e-05,0.999996844184921,16,46,"alpha-beta T cell proliferation","BP",0.00637996526284373
"560","GO:0001782",1.50674009715475e-05,0.999997333507616,14,35,"B cell homeostasis","BP",0.00645799166427156
"692","GO:0001959",1.51634662244453e-05,0.999993857628461,38,169,"regulation of cytokine-mediated signaling pathway","BP",0.00648112314600164
"4608","GO:0010628",1.58376087790707e-05,0.999989654926474,171,1122,"positive regulation of gene expression","BP",0.00648112314600164
"3054","GO:0006487",1.59539299789014e-05,0.999995031470015,25,90,"protein N-linked glycosylation","BP",0.0067887871479071
"17065","GO:0099022",1.6662638687544e-05,0.999997257806608,13,32,"vesicle tethering","BP",0.00698787542439915
"10425","GO:0043123",1.72597993898346e-05,0.999992242663684,47,226,"positive regulation of canonical NF-kappaB signal transduction","BP",0.00722717150976512
"21328","GO:2000516",1.79122681843376e-05,0.999996149140437,16,48,"positive regulation of CD4-positive, alpha-beta T cell activation","BP",0.00781427117693294
"902","GO:0002286",1.79548542575026e-05,0.999993601440688,30,121,"T cell activation involved in immune response","BP",0.00795267669610131
"1157","GO:0002702",1.81983869623619e-05,0.99999345764226,30,130,"positive regulation of production of molecular mediator of immune response","BP",0.00795963811456158
"15456","GO:0071706",1.8418517017534e-05,0.99999266091988,36,162,"tumor necrosis factor superfamily cytokine production","BP",0.00841556179455368
"19574","GO:1903555",1.8418517017534e-05,0.99999266091988,36,162,"regulation of tumor necrosis factor superfamily cytokine production","BP",0.00850953710616211
"7683","GO:0031984",1.88004579125831e-05,0.999986991257933,215,1476,"organelle subcompartment","CC",0.00852564006178608
"9503","GO:0035967",1.98089330135102e-05,0.999992908057314,30,120,"cellular response to topologically incorrect protein","BP",0.00852564006178608
"9502","GO:0035966",2.1732529276037e-05,0.999991154736419,37,165,"response to topologically incorrect protein","BP",0.00852564006178608
"12893","GO:0051250",2.19734234819112e-05,0.999991263790891,35,163,"negative regulation of lymphocyte activation","BP",0.00859310215740175
"3515","GO:0007249",2.36094189707573e-05,0.999987953768708,63,337,"canonical NF-kappaB signal transduction","BP",0.00863654716267927
"4436","GO:0009986",2.42730478737467e-05,0.999984608057305,133,826,"cell surface","CC",0.00866252437515036
"651","GO:0001910",2.46002898301531e-05,0.999992392989808,23,96,"regulation of leukocyte mediated cytotoxicity","BP",0.00866252437515036
"8437","GO:0033209",2.59756587089188e-05,0.999990885982421,28,116,"tumor necrosis factor-mediated signaling pathway","BP",0.00889156824047482
"1150","GO:0002695",2.60751334468437e-05,0.999988936561029,39,189,"negative regulation of leukocyte activation","BP",0.0089303391352352
"7223","GO:0030968",2.81842811426231e-05,0.999991065369802,24,91,"endoplasmic reticulum unfolded protein response","BP",0.00903676383279808
"1013","GO:0002455",2.86273399811915e-05,0.999993916638248,15,46,"humoral immune response mediated by circulating immunoglobulin","BP",0.00903676383279808
"1191","GO:0002752",3.0086812361032e-05,0.999991311442461,21,76,"cell surface pattern recognition receptor signaling pathway","BP",0.00903676383279808
"6355","GO:0019882",3.23761576618307e-05,0.999988914536301,26,114,"antigen processing and presentation","BP",0.00911659982268153
"1060","GO:0002526",3.50199690735324e-05,0.999988965835187,23,92,"acute inflammatory response","BP",0.00912880831905695
"10256","GO:0042742",3.51186920554294e-05,0.999983485213165,47,266,"defense response to bacterium","BP",0.00914062892441564
"8081","GO:0032633",3.58245731243554e-05,0.999993978193056,12,32,"interleukin-4 production","BP",0.00928267647511506
"8110","GO:0032673",3.58245731243554e-05,0.999993978193056,12,32,"regulation of interleukin-4 production","BP",0.0101679645366529
"12676","GO:0050866",3.60782838756194e-05,0.999983919731136,42,210,"negative regulation of cell activation","BP",0.0106797801503826
"906","GO:0002292",3.64443458166111e-05,0.999987935484562,25,95,"T cell differentiation involved in immune response","BP",0.0108451449996491
