"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"17471","GO:0110061",1,0.432764809690495,0,5,"regulation of angiotensin-activated signaling pathway","BP",1
"17473","GO:0110063",1,0.626169060492482,0,3,"positive regulation of angiotensin-activated signaling pathway","BP",1
"17478","GO:0110077",1,0.631306617857242,0,3,"vesicle-mediated intercellular transport","BP",1
"17480","GO:0110088",1,0.473259258647432,0,8,"hippocampal neuron apoptotic process","BP",1
"17481","GO:0110089",1,0.575743716223413,0,6,"regulation of hippocampal neuron apoptotic process","BP",1
"17483","GO:0110091",1,0.614983730710961,0,5,"negative regulation of hippocampal neuron apoptotic process","BP",1
"17484","GO:0110095",1,0.310845065066934,0,13,"cellular detoxification of aldehyde","BP",1
"17486","GO:0110097",1,0.557259293228261,0,6,"regulation of calcium import into the mitochondrion","BP",1
"17487","GO:0110099",1,0.757110314879846,0,3,"negative regulation of calcium import into the mitochondrion","BP",1
"17488","GO:0110104",1,0.518460467093347,0,4,"mRNA alternative polyadenylation","BP",1
"17491","GO:0110135",1,0.573906742734803,0,4,"Norrin signaling pathway","BP",1
"17496","GO:0110155",1,0.663836852650736,0,3,"NAD-cap decapping","BP",1
"17499","GO:0110158",1,0.685146109573612,0,4,"calpain complex","CC",1
"17511","GO:0120019",1,0.424149037909281,0,7,"phosphatidylcholine transfer activity","MF",1
"17522","GO:0120040",1,0.486060262903513,0,6,"regulation of macrophage proliferation","BP",1
"17523","GO:0120041",1,0.537659937657649,0,5,"positive regulation of macrophage proliferation","BP",1
"17526","GO:0120044",1,0.401233343851087,0,6,"stereocilium base","CC",1
"17527","GO:0120045",1,0.740551119888372,0,3,"stereocilium maintenance","BP",1
"17556","GO:0120127",1,0.531528548875989,0,6,"response to zinc ion starvation","BP",1
"17559","GO:0120146",1,0.583671448709944,0,6,"sulfatide binding","MF",1
"17563","GO:0120157",1,0.454991442976193,0,6,"PAR polarity complex","CC",1
"17565","GO:0120160",1,0.680524155519059,0,3,"intraciliary transport particle A binding","MF",1
"17574","GO:0120180",1,0.162491594107647,0,12,"cell-substrate junction disassembly","BP",1
"17575","GO:0120181",1,0.162491594107647,0,12,"focal adhesion disassembly","BP",1
"17576","GO:0120182",1,0.226531156555415,0,10,"regulation of focal adhesion disassembly","BP",1
"17577","GO:0120183",1,0.296116114448138,0,8,"positive regulation of focal adhesion disassembly","BP",1
"17579","GO:0120186",1,0.548817425137916,0,6,"negative regulation of protein localization to chromatin","BP",1
"17580","GO:0120187",1,0.762528386741196,0,3,"positive regulation of protein localization to chromatin","BP",1
"17581","GO:0120188",1,0.635264108212526,0,4,"regulation of bile acid secretion","BP",1
"17588","GO:0120199",1,0.430251969922981,0,7,"cone photoreceptor outer segment","CC",1
"17589","GO:0120200",1,0.44073251846663,0,7,"rod photoreceptor outer segment","CC",1
"17590","GO:0120206",1,0.666245694972884,0,3,"photoreceptor distal connecting cilium","CC",1
"17592","GO:0120212",1,0.243535906750031,0,13,"sperm head-tail coupling apparatus","CC",1
"17593","GO:0120216",1,0.616800270130865,0,4,"matrilin complex","CC",1
"17597","GO:0120222",1,0.621637957874346,0,4,"regulation of blastocyst development","BP",1
"17603","GO:0120228",1,0.734032692910106,0,3,"outer dynein arm docking complex","CC",1
"17611","GO:0120250",1,0.478185411370761,0,6,"fatty acid omega-hydroxylase activity","MF",1
"17612","GO:0120252",1,0.534028076527913,0,6,"hydrocarbon metabolic process","BP",1
"17613","GO:0120253",1,0.67965111334963,0,4,"hydrocarbon catabolic process","BP",1
"17615","GO:0120255",1,0.0515763979130684,0,25,"olefinic compound biosynthetic process","BP",1
"17617","GO:0120259",1,0.695042734392476,0,3,"7SK snRNP","CC",1
"17622","GO:0120293",1,0.148406885165802,0,19,"dynein axonemal particle","CC",1
"17629","GO:0120300",1,0.595893664195767,0,3,"peptide lactyltransferase (CoA-dependent) activity","MF",1
"17634","GO:0120317",1,0.634517253652572,0,5,"sperm mitochondrial sheath assembly","BP",1
"17635","GO:0120319",1,0.75838054686887,0,3,"long-chain fatty acid omega-1 hydroxylase activity","MF",1
"17638","GO:0120325",1,0.680766651243524,0,3,"NuRD complex binding","MF",1
"17640","GO:0120333",1,0.785705053064118,0,3,"radial spoke 1","CC",1
"17642","GO:0120335",1,0.785705053064118,0,3,"radial spoke 3","CC",1
"17643","GO:0120336",1,0.785705053064118,0,3,"radial spoke head 1","CC",1
"17645","GO:0120338",1,0.785705053064118,0,3,"radial spoke head 3","CC",1
"17646","GO:0120501",1,0.62467045751464,0,3,"F-actin monooxygenase activity","MF",1
"17647","GO:0120502",1,0.75838054686887,0,3,"fatty acid omega-1 hydroxylase activity","MF",1
"17654","GO:0120516",1,0.602422970371848,0,3,"diacylglycerol lipase activity","MF",1
"17656","GO:0120518",1,0.631682650667897,0,4,"protein N-terminal-methionine acetyltransferase activity","MF",1
"17660","GO:0120524",1,0.684307323326897,0,3,"long-chain fatty acyl-CoA oxidase activity","MF",1
"17671","GO:0120548",1,0.348099982779065,0,7,"phosphatidylinositol phospholipase C activity","MF",1
"17674","GO:0120552",1,0.58068222957463,0,4,"branched-chain alpha-keto acid decarboxylation to branched-chain acyl-CoA","BP",1
"17677","GO:0120562",1,0.490915167449893,0,6,"GlcNAc(2)-PP-Dol mannosyltransferase activity","MF",1
"17682","GO:0140005",1,0.424237017311559,0,6,"histone H4K20me2 reader activity","MF",1
"17684","GO:0140007",1,0.677079388554868,0,4,"KICSTOR complex","CC",1
"17686","GO:0140009",1,0.432393777704423,0,6,"L-aspartate import across plasma membrane","BP",1
"17692","GO:0140015",1,0.593981452372265,0,4,"histone H3K14ac reader activity","MF",1
"17696","GO:0140021",1,0.670287411529246,0,4,"mitochondrial ADP transmembrane transport","BP",1
"17706","GO:0140041",1,0.700074232934062,0,4,"cellular detoxification of methylglyoxal","BP",1
"17731","GO:0140075",1,0.590245824271296,0,5,"regulation of lipoprotein transport","BP",1
"17732","GO:0140077",1,0.590245824271296,0,5,"positive regulation of lipoprotein transport","BP",1
"17734","GO:0140081",1,0.772521751880181,0,3,"glycosylated region protein binding","MF",1
"17737","GO:0140085",1,0.371016120531845,0,8,"L-amino-acid N-acetyltransferase activity","MF",1
"17741","GO:0140090",1,0.63808843462738,0,4,"membrane curvature sensor activity","MF",1
"17742","GO:0140092",1,0.250442495550801,0,10,"bBAF complex","CC",1
"17757","GO:0140117",1,0.542839389889266,0,4,"histone H4K20me1 reader activity","MF",1
"17759","GO:0140119",1,0.689720553225493,0,3,"histone H3K27ac reader activity","MF",1
"17763","GO:0140135",1,0.319907351073683,0,10,"mechanosensitive monoatomic cation channel activity","MF",1
"17765","GO:0140141",1,0.595139378635666,0,4,"mitochondrial potassium ion transmembrane transport","BP",1
"17768","GO:0140151",1,0.404599765364436,0,6,"solid phase of interstitial matrix","CC",1
"17769","GO:0140152",1,0.404599765364436,0,6,"collagenous component of interstitial matrix","CC",1
"17770","GO:0140153",1,0.404599765364436,0,6,"FACIT collagen complex","CC",1
