"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"5S_rRNA" 1.46009399434518 0.502910075530144 1.97228377403221 0.254988699978997 0.798731826933824 NA
"A1BG" 197.624663187205 -0.252156279998579 0.328197327337788 -0.768306926945368 0.44230486030984 0.605459056001503
"A1CF" 40.6240560678451 0.304617820894837 0.738861773712824 0.412279849536829 0.680134316377204 0.79748298348986
"A2M" 10990.232162607 0.519641207320641 0.380721401563091 1.3648857279554 0.172288968649188 0.321473867293295
"A2ML1" 81.1519012829069 -0.36899183986357 0.370833111091953 -0.995034771239923 0.319719353263781 0.488384600070981
"A2MP1" 50.2197819529278 1.31647910405602 0.868193827249435 1.5163423912225 0.129432797833441 0.263989418576205
"A3GALT2" 0.495841465275867 0.924758699589102 3.4339400961022 0.269299601538996 0.787699138783854 NA
"A4GALT" 779.469636944757 -2.25003368542417 0.557353768627653 -4.03699375885504 5.41405085850825e-05 0.000661930618915193
"A4GNT" 5.74617641620069 1.28867630965937 1.7969039435749 0.717164829131366 0.473272397969419 0.632690468864381
"AAAS" 171.110617707173 -2.12869084586985 0.784070377517719 -2.71492318407571 0.00662911447630408 0.0300668666085759
"AACS" 826.572083108544 -0.402739915469444 0.226113942942289 -1.78113702423134 0.0748900685861753 0.181151653225737
"AACSP1" 25.4490032484527 0.533625033936786 1.0073626041539 0.529724879339737 0.596302695599865 0.734883456799908
"AADAC" 2.47920461335247 3.21875948704231 2.11592989041764 1.52120327881326 0.128208832912068 NA
"AADACL2" 46.6117845591094 0.462441682205348 1.12011067978869 0.412853560411179 0.679713907161875 0.797130666680427
"AADACL3" 8.65255166901759 2.79989983746253 1.4257216606771 1.96384744279806 0.0495477863422621 0.135742417130855
"AADACL4" 0 NA NA NA NA NA
"AADACP1" 37.5551707048649 0.216573944001203 0.802434273520838 0.269896178600326 0.787240127155068 0.870920262108747
"AADAT" 67.8689009436521 -0.758470544471377 0.518714979747617 -1.46221060521602 0.143683506359188 0.283429504679051
"AAGAB" 557.04168743552 0.60921009131914 0.292655254251844 2.08166462917794 0.0373731135916564 0.111022424300363
"AAK1" 2354.48632042862 0.967132841024549 0.285330407871426 3.38951900794378 0.000700153546643269 0.00516858268713053
"AAMDC" 229.166713670189 -0.24910009826788 0.373026818467375 -0.667780668669714 0.504273608029599 0.658720615205855
"AAMP" 386.521868437603 -2.70977560829222 0.612860454575017 -4.42152138886378 9.80083604378629e-06 0.000162849058230879
"AANAT" 10.5480118011982 -0.345828371922432 1.33767348911662 -0.25852973445023 0.795998103925397 0.8766983302883
"AAR2" 470.689687269926 0.929230502599325 0.2923085264298 3.1789373849226 0.00147816018555043 0.00935949061279457
"AARD" 31.8220570423869 -1.53251100710449 0.583282267331332 -2.62739173285025 0.0086042217647959 0.0368469883522907
"AARS1" 1072.55684578128 -0.624640697175335 0.286642864624453 -2.17916011268486 0.0293197759109791 0.0931644640460576
"AARS1P1" 0 NA NA NA NA NA
"AARS2" 290.277318550338 -1.22206644709286 0.396365442615384 -3.08318111445125 0.00204800470732009 0.0120921426885565
"AARSD1" 156.568992679972 -2.72264518810475 0.369422032087232 -7.37001302472898 1.70611367265871e-13 2.50128698957357e-11
"AARSD1P1" 67.3859518321295 0.539011013938078 0.763657468002107 0.705828249605477 0.480294951931701 0.637929725990286
"AASDH" 240.643579145885 1.34916666077632 0.574096756613158 2.3500684252871 0.0187699602192588 0.0667595855889762
"AASDHPPT" 366.996618270101 0.8209463135058 0.5056326021335 1.62360241416761 0.104460689892889 0.227402939958701
"AASS" 1122.95151601852 1.16105319896956 0.3781899190934 3.07002683136781 0.00214039541171705 0.0125043492863247
"AATF" 834.027531448855 -0.345414201365428 0.319585775083329 -1.08081844780283 0.279777880714698 0.446478285918089
"AATK" 267.092394070239 -0.757637871152466 0.440911812058525 -1.71834332950894 0.0857340104492855 0.198727090717078
"ABAT" 431.165884289061 0.588099954899573 0.360161049262395 1.6328805019421 0.102494131682171 0.224673536896527
"ABCA1" 6231.01180841466 1.02156649880605 0.53330728888521 1.91553072702507 0.0554248543933424 0.147231038069392
"ABCA10" 337.548873744709 0.483692886733833 0.778607381724983 0.621228231438321 0.534449466770394 0.684857928939476
"ABCA11P" 40.5386294164678 0.341114117722026 0.918527444838629 0.371370632024996 0.710361496316124 0.818585165805051
"ABCA12" 16.8278675758031 -0.257510976410384 1.18005627789773 -0.218219233466678 0.827258300036145 0.896175761015495
"ABCA13" 75.4465349778687 0.498695783203659 0.796789745746211 0.625881276542559 0.531392816306509 0.682508296814564
"ABCA17P" 31.2050094267109 -1.12716204473821 1.01057498612477 -1.11536705362214 0.264693161889734 0.4306231196899
"ABCA2" 760.266976418694 -2.71865482498982 0.509119705967797 -5.33991278106565 9.299130833629e-08 2.96664591506766e-06
"ABCA3" 504.955404045461 -2.69977995027634 0.624461084148396 -4.32337581765908 1.5365964667925e-05 0.000233700968355268
"ABCA4" 15.1133452138087 -1.89357887755403 1.59596655057134 -1.1864777973424 NA NA
